latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.8988,-1.5784,317.4,1.2,1.1,2000-11-02,1045,Terra,MODIS,37,6.2,299.4,7.5,D,0
10.8935,-1.6126,330.8,1.2,1.1,2000-11-02,1045,Terra,MODIS,82,6.2,301.2,26.9,D,0
10.892,-1.6017,319.7,1.2,1.1,2000-11-02,1045,Terra,MODIS,35,6.2,301.3,9.7,D,0
10.8925,-1.6193,327.5,1.2,1.1,2000-11-02,1045,Terra,MODIS,78,6.2,301.3,20.6,D,0
10.8909,-1.6084,328.3,1.2,1.1,2000-11-02,1045,Terra,MODIS,79,6.2,302.1,22,D,0
10.8329,-1.6947,318.4,1.2,1.1,2000-11-02,1045,Terra,MODIS,47,6.2,300.7,8.5,D,0
10.8231,-1.6961,318.1,1.2,1.1,2000-11-02,1045,Terra,MODIS,48,6.2,301,7.9,D,0
10.0496,0.2788,311.7,1,1,2000-11-02,1045,Terra,MODIS,54,6.2,281.4,6.7,D,0
10.4505,-1.3233,304.2,2.2,1.4,2000-11-03,2217,Terra,MODIS,59,6.2,293.8,14.9,N,0
10.9615,-0.696,325.6,1.7,1.3,2000-11-04,1032,Terra,MODIS,71,6.2,302.7,27.6,D,0
10.7153,-0.3086,325.6,1.6,1.2,2000-11-04,1032,Terra,MODIS,73,6.2,305.8,19,D,0
10.6854,-0.86,331,1.7,1.3,2000-11-04,1032,Terra,MODIS,80,6.2,306.9,38.5,D,0
10.6833,-0.8445,323.7,1.7,1.3,2000-11-04,1032,Terra,MODIS,71,6.2,304.6,19,D,0
10.076,0.2727,321.6,1.4,1.2,2000-11-04,1033,Terra,MODIS,68,6.2,303.3,13.8,D,0
10.0743,0.2853,319.3,1.4,1.2,2000-11-04,1033,Terra,MODIS,62,6.2,303.6,10.2,D,0
10.9618,-1.1189,324.4,1.9,1.3,2000-11-05,1115,Terra,MODIS,70,6.2,308.2,19.6,D,0
10.8815,-1.6834,324.3,1.7,1.3,2000-11-05,1115,Terra,MODIS,70,6.2,306.8,25,D,0
10.6418,-0.2973,325.5,2.2,1.4,2000-11-05,1115,Terra,MODIS,75,6.2,303,42.4,D,0
10.6385,-0.2777,317.9,2.2,1.4,2000-11-05,1115,Terra,MODIS,60,6.2,301.8,18.4,D,0
10.6694,-0.8689,324.5,2,1.4,2000-11-05,1115,Terra,MODIS,48,6.2,308.8,24.7,D,0
10.6601,-0.8885,332.8,2,1.4,2000-11-05,1115,Terra,MODIS,74,6.2,305.4,53.4,D,0
10.6573,-0.871,330.3,2,1.4,2000-11-05,1115,Terra,MODIS,69,6.2,306.5,43.4,D,0
10.5818,-0.5675,319.5,2.1,1.4,2000-11-05,1115,Terra,MODIS,60,6.2,304.7,19.6,D,0
10.3247,-0.2882,319.8,2.2,1.4,2000-11-05,1115,Terra,MODIS,67,6.2,303.5,23.1,D,0
10.2431,0.0325,321.5,2.3,1.5,2000-11-05,1115,Terra,MODIS,66,6.2,302.3,28.2,D,0
10.326,-0.2944,322.7,2.2,1.4,2000-11-05,1115,Terra,MODIS,72,6.2,303.8,31.3,D,0
10.2469,0.0266,318.5,2.3,1.5,2000-11-05,1115,Terra,MODIS,64,6.2,302.7,19.7,D,0
10.3621,-1.2035,318.3,1.9,1.3,2000-11-05,1115,Terra,MODIS,53,6.2,304.4,16.5,D,0
10.0597,0.187,320.3,2.4,1.5,2000-11-05,1115,Terra,MODIS,69,6.2,301.1,34.1,D,0
10.056,0.2088,326.6,2.4,1.5,2000-11-05,1115,Terra,MODIS,78,6.2,302.2,57.4,D,0
10.0615,0.203,328.4,2.4,1.5,2000-11-05,1115,Terra,MODIS,80,6.2,302.8,63.7,D,0
10.3141,-1.5916,316.4,1.8,1.3,2000-11-05,1115,Terra,MODIS,52,6.2,303.7,11.3,D,0
10.3116,-1.5757,318.2,1.8,1.3,2000-11-05,1115,Terra,MODIS,60,6.2,304,14.6,D,0
10.2153,-1.4269,323.3,1.8,1.3,2000-11-05,1115,Terra,MODIS,24,6.2,305.8,18.9,D,0
10.2034,-1.401,323.4,1.8,1.3,2000-11-05,1115,Terra,MODIS,38,6.2,304.8,20.3,D,0
9.7782,-0.4772,317.9,2.2,1.4,2000-11-05,1116,Terra,MODIS,65,6.2,300.3,21.7,D,0
9.779,-0.4837,314.7,2.2,1.4,2000-11-05,1116,Terra,MODIS,57,6.2,300.2,14.8,D,0
9.6852,-0.3164,313.5,2.3,1.5,2000-11-05,1116,Terra,MODIS,52,6.2,299.1,16.8,D,0
8.81,-0.984,316.9,2.1,1.4,2000-11-05,1116,Terra,MODIS,63,6.2,298.2,22.5,D,0
10.4459,-1.2278,302.5,1.1,1,2000-11-06,2247,Terra,MODIS,49,6.2,292.3,5,N,0
10.5854,-0.4804,311.8,1.1,1.1,2000-11-06,2247,Terra,MODIS,83,6.2,293.5,12.8,N,0
10.584,-0.4907,303.4,1.1,1.1,2000-11-06,2247,Terra,MODIS,55,6.2,292.8,6.2,N,0
10.8795,-0.6442,320.1,1.2,1.1,2000-11-07,1103,Terra,MODIS,52,6.2,306.4,10.4,D,0
10.8521,-0.5339,325.3,1.3,1.1,2000-11-07,1103,Terra,MODIS,59,6.2,309.7,13.5,D,0
10.9957,-1.6429,346.2,1.1,1,2000-11-07,1103,Terra,MODIS,92,6.2,308.1,49.5,D,0
10.8044,-0.5587,321.6,1.2,1.1,2000-11-07,1103,Terra,MODIS,62,6.2,305.4,12.3,D,0
10.7945,-0.5603,331.6,1.2,1.1,2000-11-07,1103,Terra,MODIS,80,6.2,305.1,28.6,D,0
10.5875,-0.3483,323.5,1.3,1.1,2000-11-07,1103,Terra,MODIS,66,6.2,305.1,16.4,D,0
10.6968,-1.1225,325.8,1.2,1.1,2000-11-07,1103,Terra,MODIS,73,6.2,303.9,18.6,D,0
10.5806,-0.5021,346.9,1.3,1.1,2000-11-07,1103,Terra,MODIS,93,6.2,306.2,64.4,D,0
10.579,-0.4915,342.8,1.3,1.1,2000-11-07,1103,Terra,MODIS,90,6.2,305.9,53.7,D,0
10.6012,-1.0356,331.6,1.2,1.1,2000-11-07,1103,Terra,MODIS,68,6.2,310.1,23.3,D,0
10.8051,-2.6894,320.8,1,1,2000-11-07,1103,Terra,MODIS,62,6.2,307.2,5.8,D,0
10.3252,0.0177,323.4,1.4,1.2,2000-11-07,1103,Terra,MODIS,71,6.2,305.9,17.5,D,0
10.7253,-2.8951,321.5,1,1,2000-11-07,1103,Terra,MODIS,46,6.2,306.4,8.5,D,0
10.7164,-2.8964,333.3,1,1,2000-11-07,1103,Terra,MODIS,82,6.2,308.3,22.5,D,0
10.3325,-0.4237,322.8,1.3,1.1,2000-11-07,1103,Terra,MODIS,49,6.2,305.3,13.1,D,0
10.2907,-0.1633,322.6,1.3,1.1,2000-11-07,1103,Terra,MODIS,57,6.2,307.7,10.7,D,0
10.2887,-0.1512,322.6,1.3,1.1,2000-11-07,1103,Terra,MODIS,59,6.2,307,10.5,D,0
10.292,-0.1572,327.5,1.3,1.1,2000-11-07,1103,Terra,MODIS,77,6.2,307.9,19,D,0
10.5781,-2.836,322.7,1,1,2000-11-07,1103,Terra,MODIS,63,6.2,307,7.1,D,0
10.2484,-1.644,323.1,1.1,1.1,2000-11-07,1103,Terra,MODIS,69,6.2,305.5,12.2,D,0
9.9661,-0.1774,324.3,1.4,1.2,2000-11-07,1103,Terra,MODIS,73,6.2,306,15.9,D,0
10.1582,-2.1323,321,1.1,1,2000-11-07,1103,Terra,MODIS,66,6.2,304,9.5,D,0
10.1489,-2.1337,318.6,1.1,1,2000-11-07,1103,Terra,MODIS,58,6.2,303.7,7.1,D,0
9.9497,-2.7033,316.8,1,1,2000-11-07,1103,Terra,MODIS,56,6.2,304.2,5.1,D,0
9.1994,-0.2601,315.3,1.4,1.2,2000-11-07,1103,Terra,MODIS,49,6.2,299.1,8.3,D,0
9.2017,-0.2536,316.9,1.4,1.2,2000-11-07,1103,Terra,MODIS,59,6.2,300.6,10.3,D,0
8.7542,-1.335,318.8,1.2,1.1,2000-11-07,1104,Terra,MODIS,0,6.2,300.9,10.9,D,0
6.595,0.4714,312.4,1.7,1.3,2000-11-07,1104,Terra,MODIS,51,6.2,294.6,10.9,D,0
5.26,-0.9633,315.9,1.4,1.2,2000-11-07,1105,Terra,MODIS,65,6.2,292.2,9.9,D,0
10.2549,-1.4075,309.9,1.1,1,2000-11-08,2235,Terra,MODIS,79,6.2,295.2,9.7,N,0
10.2642,-1.4089,312.6,1.1,1,2000-11-08,2235,Terra,MODIS,85,6.2,294.8,11.4,N,0
10.8707,-0.3171,331.1,1,1,2000-11-09,1051,Terra,MODIS,77,6.2,308.5,15.6,D,0
10.8135,-0.3685,326.8,1,1,2000-11-09,1051,Terra,MODIS,72,6.2,304.8,13.7,D,0
10.8121,-0.3595,329.2,1,1,2000-11-09,1051,Terra,MODIS,76,6.2,305.3,17,D,0
10.8029,-0.987,321.2,1,1,2000-11-09,1051,Terra,MODIS,39,6.2,304.2,7.8,D,0
10.9848,-2.6415,309.9,1.1,1.1,2000-11-09,1051,Terra,MODIS,53,6.2,272.5,9.5,D,0
10.6149,-0.0867,322.9,1,1,2000-11-09,1051,Terra,MODIS,65,6.2,306.8,7.6,D,0
10.5907,-0.2939,326.2,1,1,2000-11-09,1051,Terra,MODIS,66,6.2,306.1,11.5,D,0
10.5921,-0.4939,336.1,1,1,2000-11-09,1051,Terra,MODIS,85,6.2,309.1,24.5,D,0
10.5782,-0.5236,340.5,1,1,2000-11-09,1051,Terra,MODIS,89,6.2,305.9,32.6,D,0
10.5769,-0.5145,327.4,1,1,2000-11-09,1051,Terra,MODIS,72,6.2,304.7,13.8,D,0
10.5626,-0.4798,327.2,1,1,2000-11-09,1051,Terra,MODIS,71,6.2,304.1,14,D,0
10.6378,-1.1817,321,1,1,2000-11-09,1051,Terra,MODIS,70,6.2,297.3,10.5,D,0
10.6259,-1.0996,318,1,1,2000-11-09,1051,Terra,MODIS,63,6.2,298,8.7,D,0
10.5312,-0.5766,320.5,1,1,2000-11-09,1051,Terra,MODIS,56,6.2,303.9,8.3,D,0
10.3924,0.2316,325.6,1,1,2000-11-09,1051,Terra,MODIS,56,6.2,306.8,10.1,D,0
10.3599,0.2643,322.2,1,1,2000-11-09,1051,Terra,MODIS,34,6.2,306.1,7.1,D,0
10.1758,-0.1089,326.9,1,1,2000-11-09,1051,Terra,MODIS,75,6.2,306.2,10.8,D,0
10.5177,-2.5217,310.6,1.1,1,2000-11-09,1051,Terra,MODIS,42,6.2,281.2,6.2,D,0
10.1659,-0.166,334.3,1,1,2000-11-09,1051,Terra,MODIS,83,6.2,305.9,23.7,D,0
10.3501,-1.5486,324.8,1,1,2000-11-09,1051,Terra,MODIS,70,6.2,295.5,13.9,D,0
10.3488,-1.5394,346.3,1,1,2000-11-09,1051,Terra,MODIS,93,6.2,296.5,47.1,D,0
10.3397,-1.5406,324.8,1,1,2000-11-09,1051,Terra,MODIS,73,6.2,297.3,13.9,D,0
10.2584,-1.1685,324.8,1,1,2000-11-09,1051,Terra,MODIS,75,6.2,302.5,13.6,D,0
10.3529,-2.014,316.3,1.1,1,2000-11-09,1051,Terra,MODIS,54,6.2,296.7,7.8,D,0
9.9571,0.2451,326.8,1,1,2000-11-09,1051,Terra,MODIS,75,6.2,304.8,14.3,D,0
10.302,-2.4329,312.5,1.1,1,2000-11-09,1051,Terra,MODIS,44,6.2,292.1,5.5,D,0
10.3006,-2.423,314.4,1.1,1,2000-11-09,1051,Terra,MODIS,51,6.2,293.3,7.2,D,0
10.0167,-1.0922,320.1,1,1,2000-11-09,1051,Terra,MODIS,64,6.2,301.6,9,D,0
9.9429,-0.651,323.7,1,1,2000-11-09,1051,Terra,MODIS,71,6.2,304.7,9.2,D,0
9.8846,-0.3185,317.9,1,1,2000-11-09,1051,Terra,MODIS,48,6.2,302.3,6.4,D,0
9.8091,0.126,320.6,1,1,2000-11-09,1051,Terra,MODIS,62,6.2,303.6,7.6,D,0
9.8609,-0.5959,319.6,1,1,2000-11-09,1051,Terra,MODIS,62,6.2,304.4,6.5,D,0
9.697,-0.3586,317.2,1,1,2000-11-09,1051,Terra,MODIS,55,6.2,301.6,6.3,D,0
9.6957,-0.3495,324.8,1,1,2000-11-09,1051,Terra,MODIS,73,6.2,302.1,13.9,D,0
9.7457,-2.271,320.9,1.1,1,2000-11-09,1051,Terra,MODIS,67,6.2,299.7,10.8,D,0
9.3352,-1.2163,317.9,1,1,2000-11-09,1051,Terra,MODIS,60,6.2,301.6,6.9,D,0
9.1569,-0.1979,321.5,1,1,2000-11-09,1051,Terra,MODIS,70,6.2,300.1,11.6,D,0
8.9281,0.2251,315.3,1,1,2000-11-09,1051,Terra,MODIS,55,6.2,300.9,6,D,0
8.7939,-0.1739,317.2,1,1,2000-11-09,1051,Terra,MODIS,61,6.2,300.1,6.1,D,0
8.8199,-1.3466,327,1,1,2000-11-09,1051,Terra,MODIS,78,6.2,302.6,15.8,D,0
8.811,-1.3479,319.1,1,1,2000-11-09,1051,Terra,MODIS,55,6.2,301.1,7.1,D,0
8.6184,-0.0474,319.4,1,1,2000-11-09,1051,Terra,MODIS,67,6.2,300.4,8.8,D,0
8.3888,-0.0528,315,1,1,2000-11-09,1051,Terra,MODIS,56,6.2,299.3,5.4,D,0
8.5313,-1.3884,318.7,1,1,2000-11-09,1051,Terra,MODIS,66,6.2,298.9,8.5,D,0
8.53,-1.3793,317.2,1,1,2000-11-09,1051,Terra,MODIS,62,6.2,299.7,7.1,D,0
7.7944,-0.2685,314.6,1,1,2000-11-09,1052,Terra,MODIS,59,6.2,297.4,5.6,D,0
5.8214,0.8296,321.2,1.2,1.1,2000-11-09,1052,Terra,MODIS,46,6.2,300.2,8.3,D,0
5.2366,-0.8523,320.5,1,1,2000-11-09,1052,Terra,MODIS,73,6.2,298.7,8.9,D,0
10.4483,-1.2074,318.1,4.3,1.9,2000-11-10,1134,Terra,MODIS,50,6.2,299.9,48.2,D,0
10.4413,-1.1689,318.3,4.3,1.9,2000-11-10,1134,Terra,MODIS,65,6.2,300,54.5,D,0
10.4392,-1.1765,319.5,4.3,1.9,2000-11-10,1134,Terra,MODIS,68,6.2,300,63.1,D,0
10.2839,-1.4058,322.2,4.2,1.9,2000-11-10,1134,Terra,MODIS,73,6.2,301.7,82,D,0
10.2806,-1.4134,322.2,4.2,1.9,2000-11-10,1134,Terra,MODIS,72,6.2,301,81.2,D,0
10.3296,-1.2411,302.8,1.6,1.3,2000-11-10,2223,Terra,MODIS,51,6.2,292.4,9.6,N,0
10.9636,-0.568,325.2,1.3,1.1,2000-11-11,1039,Terra,MODIS,58,6.2,311.5,12.8,D,0
10.9595,-0.688,324,1.3,1.1,2000-11-11,1039,Terra,MODIS,42,6.2,310.2,11.6,D,0
10.9732,-1.2303,322.6,1.4,1.2,2000-11-11,1039,Terra,MODIS,49,6.2,305.3,15.3,D,0
10.961,-1.219,324.1,1.4,1.2,2000-11-11,1039,Terra,MODIS,49,6.2,306.8,16.8,D,0
10.7555,-0.3195,326.7,1.2,1.1,2000-11-11,1039,Terra,MODIS,44,6.2,309.3,13.2,D,0
10.6552,-0.2603,325.3,1.2,1.1,2000-11-11,1039,Terra,MODIS,51,6.2,308.9,12.9,D,0
10.6536,-0.2493,327.7,1.2,1.1,2000-11-11,1039,Terra,MODIS,68,6.2,307.7,17.3,D,0
10.9462,-2.7468,321.4,1.8,1.3,2000-11-11,1039,Terra,MODIS,64,6.2,304.9,18.4,D,0
10.8276,-2.0087,319.1,1.6,1.2,2000-11-11,1039,Terra,MODIS,55,6.2,304.1,11,D,0
10.5899,-0.3701,365.5,1.2,1.1,2000-11-11,1039,Terra,MODIS,100,6.2,308.5,124.7,D,0
10.6562,-0.8514,325.5,1.3,1.1,2000-11-11,1039,Terra,MODIS,39,6.2,308.9,14.1,D,0
10.5897,-0.3767,350.2,1.2,1.1,2000-11-11,1039,Terra,MODIS,94,6.2,307.4,70,D,0
10.5882,-0.3654,345.9,1.2,1.1,2000-11-11,1039,Terra,MODIS,92,6.2,307.2,56.7,D,0
10.5798,-0.3779,320,1.2,1.1,2000-11-11,1039,Terra,MODIS,42,6.2,306.5,8.7,D,0
10.5783,-0.3667,327.7,1.2,1.1,2000-11-11,1039,Terra,MODIS,74,6.2,307.4,18.4,D,0
10.6744,-1.1355,326.2,1.4,1.2,2000-11-11,1039,Terra,MODIS,73,6.2,305.6,24,D,0
10.6727,-1.123,324.1,1.4,1.2,2000-11-11,1039,Terra,MODIS,69,6.2,307,20,D,0
10.7919,-2.2607,319.8,1.7,1.3,2000-11-11,1039,Terra,MODIS,61,6.2,302.6,16.1,D,0
10.5703,-0.754,323.3,1.3,1.1,2000-11-11,1039,Terra,MODIS,67,6.2,307.9,13.8,D,0
10.476,-0.3646,324.4,1.2,1.1,2000-11-11,1039,Terra,MODIS,69,6.2,310.1,11.1,D,0
10.7021,-2.1871,317.2,1.6,1.3,2000-11-11,1039,Terra,MODIS,50,6.2,302.5,12.5,D,0
10.7001,-2.1723,319.7,1.6,1.3,2000-11-11,1039,Terra,MODIS,61,6.2,302.7,18,D,0
10.3994,-0.319,327.4,1.2,1.1,2000-11-11,1039,Terra,MODIS,74,6.2,308.2,15.6,D,0
10.3988,-0.3257,326.2,1.2,1.1,2000-11-11,1039,Terra,MODIS,68,6.2,307.9,14.8,D,0
10.3695,-0.119,325.6,1.2,1.1,2000-11-11,1039,Terra,MODIS,72,6.2,306.3,13.5,D,0
10.3598,-0.1203,328.5,1.2,1.1,2000-11-11,1039,Terra,MODIS,77,6.2,306.3,17.6,D,0
10.624,-2.4662,322.5,1.7,1.3,2000-11-11,1039,Terra,MODIS,69,6.2,301.7,21.1,D,0
10.6372,-2.8119,325.7,1.8,1.3,2000-11-11,1039,Terra,MODIS,75,6.2,304,25.4,D,0
10.4256,-1.2513,320.5,1.4,1.2,2000-11-11,1039,Terra,MODIS,59,6.2,305.7,12.1,D,0
10.2594,-1.5345,319.1,1.4,1.2,2000-11-11,1039,Terra,MODIS,56,6.2,304,11.2,D,0
10.1907,-1.425,333.1,1.4,1.2,2000-11-11,1039,Terra,MODIS,75,6.2,308.3,32.2,D,0
10.189,-1.4122,339.7,1.4,1.2,2000-11-11,1039,Terra,MODIS,88,6.2,307.2,48.4,D,0
10.1843,-1.4195,340.9,1.4,1.2,2000-11-11,1039,Terra,MODIS,89,6.2,308.6,56.8,D,0
10.1826,-1.4067,325.1,1.4,1.2,2000-11-11,1039,Terra,MODIS,65,6.2,307,20.2,D,0
10.0053,-0.4276,330.5,1.2,1.1,2000-11-11,1039,Terra,MODIS,80,6.2,304,25.4,D,0
9.8951,-0.0855,324,1.2,1.1,2000-11-11,1039,Terra,MODIS,66,6.2,303.2,12.9,D,0
9.8901,-0.5515,328.7,1.2,1.1,2000-11-11,1039,Terra,MODIS,78,6.2,304.8,21.9,D,0
9.7154,0.262,327.3,1.1,1.1,2000-11-11,1039,Terra,MODIS,76,6.2,303.4,18.2,D,0
9.7307,0.0133,335.7,1.2,1.1,2000-11-11,1039,Terra,MODIS,85,6.2,302.5,32.6,D,0
9.7293,0.0237,335.5,1.2,1.1,2000-11-11,1039,Terra,MODIS,85,6.2,303.4,32.7,D,0
9.8001,-0.715,317.4,1.3,1.1,2000-11-11,1039,Terra,MODIS,56,6.2,303.3,8,D,0
9.7592,-0.424,320.4,1.2,1.1,2000-11-11,1039,Terra,MODIS,66,6.2,304.8,11,D,0
8.8031,-1.2201,319.9,2,1.4,2000-11-11,2305,Terra,MODIS,99,6.2,292.6,46.6,N,0
9.9854,0.209,302.4,2.7,1.6,2000-11-11,2306,Terra,MODIS,49,6.2,291.4,20.2,N,0
10.8536,-0.6545,320.9,2.7,1.6,2000-11-12,1121,Terra,MODIS,57,6.2,302.4,33,D,0
10.8586,-0.6342,318.8,2.7,1.6,2000-11-12,1121,Terra,MODIS,40,6.2,300.9,27.1,D,0
10.6684,-2.1639,348.2,2.1,1.4,2000-11-12,1121,Terra,MODIS,94,6.2,297.9,142.5,D,0
10.6559,-2.1659,318.6,2.1,1.4,2000-11-12,1121,Terra,MODIS,65,6.2,296.1,21.6,D,0
10.6668,-2.1708,344.9,2.1,1.4,2000-11-12,1121,Terra,MODIS,92,6.2,298.2,125,D,0
10.6878,-2.6052,316,1.9,1.3,2000-11-12,1121,Terra,MODIS,41,6.2,299.3,10.3,D,0
10.4942,-2.8114,322.1,1.9,1.3,2000-11-12,1122,Terra,MODIS,61,6.2,302.5,16.2,D,0
10.2375,-1.3995,322.6,2.4,1.5,2000-11-12,1122,Terra,MODIS,58,6.2,298.3,32.8,D,0
10.3167,-2.0344,319.2,2.1,1.4,2000-11-12,1122,Terra,MODIS,68,6.2,297.5,27.4,D,0
10.1774,-1.2064,315.9,2.5,1.5,2000-11-12,1122,Terra,MODIS,52,6.2,298.4,22.9,D,0
10.1639,-1.2088,336.5,2.5,1.5,2000-11-12,1122,Terra,MODIS,87,6.2,298.4,113.2,D,0
10.1601,-1.1865,315.5,2.5,1.5,2000-11-12,1122,Terra,MODIS,57,6.2,296.4,19.7,D,0
9.4438,-0.2251,313.2,3.1,1.7,2000-11-12,1122,Terra,MODIS,57,6.2,292.9,28,D,0
9.4447,-0.2316,312.4,3.1,1.7,2000-11-12,1122,Terra,MODIS,54,6.2,293.3,23.4,D,0
10.6027,-0.5269,330,2.1,1.4,2000-11-13,1026,Terra,MODIS,76,6.2,307.3,50.7,D,0
10.6095,-1.1873,321.9,2.4,1.5,2000-11-13,1026,Terra,MODIS,64,6.2,302.3,30.2,D,0
10.2656,-1.1631,317.3,2.3,1.5,2000-11-13,1026,Terra,MODIS,59,6.2,301.6,22.5,D,0
9.8931,0.008,318.6,1.9,1.3,2000-11-13,1027,Terra,MODIS,61,6.2,304.7,15.5,D,0
9.7896,-1.1079,317.4,2.3,1.5,2000-11-13,1027,Terra,MODIS,63,6.2,300.4,22.2,D,0
9.7919,-1.1135,319,2.3,1.5,2000-11-13,1027,Terra,MODIS,67,6.2,300.5,28.4,D,0
10.9529,-1.0848,334.8,1.4,1.2,2000-11-14,1109,Terra,MODIS,82,6.2,311.9,31.8,D,0
10.9593,-1.0897,326.8,1.4,1.2,2000-11-14,1109,Terra,MODIS,72,6.2,311.9,13.7,D,0
10.9669,-1.2075,321.5,1.4,1.2,2000-11-14,1109,Terra,MODIS,41,6.2,308.2,11.1,D,0
10.9487,-1.0914,325.4,1.4,1.2,2000-11-14,1109,Terra,MODIS,58,6.2,312.1,11.1,D,0
10.831,-0.4185,325.1,1.6,1.3,2000-11-14,1109,Terra,MODIS,53,6.2,311.4,16.9,D,0
10.8497,-0.607,327.1,1.6,1.2,2000-11-14,1109,Terra,MODIS,59,6.2,307.8,23.5,D,0
10.8475,-0.5928,330.9,1.6,1.2,2000-11-14,1109,Terra,MODIS,68,6.2,309.6,32.8,D,0
10.8063,-0.4078,334.3,1.6,1.3,2000-11-14,1109,Terra,MODIS,82,6.2,312.9,39.5,D,0
10.804,-0.3931,355.1,1.6,1.3,2000-11-14,1109,Terra,MODIS,97,6.2,312.3,122.2,D,0
10.7578,-0.1081,328.8,1.7,1.3,2000-11-14,1109,Terra,MODIS,76,6.2,311.3,30.5,D,0
10.9411,-1.316,327.2,1.4,1.2,2000-11-14,1109,Terra,MODIS,70,6.2,309.3,21.7,D,0
10.7871,-0.5004,357.2,1.6,1.2,2000-11-14,1109,Terra,MODIS,98,6.2,313.3,130,D,0
10.7848,-0.4859,323,1.6,1.2,2000-11-14,1109,Terra,MODIS,60,6.2,310.2,11.9,D,0
10.9049,-1.6676,327.5,1.3,1.1,2000-11-14,1109,Terra,MODIS,48,6.2,312.2,13.7,D,0
10.7793,-1.0848,322.8,1.5,1.2,2000-11-14,1109,Terra,MODIS,47,6.2,309.3,9.4,D,0
10.747,-0.9542,323.3,1.5,1.2,2000-11-14,1109,Terra,MODIS,56,6.2,306.7,15.5,D,0
10.7732,-1.0782,328.7,1.5,1.2,2000-11-14,1109,Terra,MODIS,77,6.2,309.6,21.9,D,0
10.7418,-0.9473,320.6,1.5,1.2,2000-11-14,1109,Terra,MODIS,52,6.2,307.7,12.6,D,0
10.9516,-2.5529,326.4,1.2,1.1,2000-11-14,1109,Terra,MODIS,66,6.2,301.5,15.9,D,0
10.9499,-2.5422,323.5,1.2,1.1,2000-11-14,1109,Terra,MODIS,51,6.2,301.5,11.6,D,0
10.5268,-0.2444,332.5,1.7,1.3,2000-11-14,1109,Terra,MODIS,82,6.2,309.4,43,D,0
10.9173,-2.8004,340.8,1.1,1.1,2000-11-14,1109,Terra,MODIS,89,6.2,307.4,39.7,D,0
10.4075,0.1241,319.7,1.8,1.3,2000-11-14,1109,Terra,MODIS,48,6.2,304.2,16.8,D,0
10.4049,0.1402,351.3,1.8,1.3,2000-11-14,1109,Terra,MODIS,95,6.2,307.7,131.2,D,0
10.4867,-0.4949,319.3,1.6,1.3,2000-11-14,1109,Terra,MODIS,54,6.2,307.4,11,D,0
10.4871,-0.5007,321.9,1.6,1.3,2000-11-14,1109,Terra,MODIS,67,6.2,308.2,17,D,0
10.3325,0.2409,318.6,1.9,1.3,2000-11-14,1109,Terra,MODIS,52,6.2,300.4,17.5,D,0
10.5804,-1.5004,322.2,1.4,1.2,2000-11-14,1109,Terra,MODIS,68,6.2,306.5,14.9,D,0
10.542,-1.2611,323.9,1.4,1.2,2000-11-14,1109,Terra,MODIS,45,6.2,307.7,14.3,D,0
10.3027,-0.5717,318.4,1.6,1.2,2000-11-14,1109,Terra,MODIS,57,6.2,306.7,11.8,D,0
10.2628,-0.6075,317.7,1.6,1.2,2000-11-14,1109,Terra,MODIS,57,6.2,303.8,10.8,D,0
10.4065,-1.5661,323.6,1.4,1.2,2000-11-14,1109,Terra,MODIS,71,6.2,306.3,17.6,D,0
10.4045,-1.5537,319.4,1.4,1.2,2000-11-14,1109,Terra,MODIS,45,6.2,305.7,10.7,D,0
10.5283,-2.5408,343.1,1.2,1.1,2000-11-14,1109,Terra,MODIS,85,6.2,300.8,48.9,D,0
10.5267,-2.53,350.3,1.2,1.1,2000-11-14,1109,Terra,MODIS,89,6.2,302.2,67,D,0
10.2478,-0.8768,331.6,1.5,1.2,2000-11-14,1109,Terra,MODIS,81,6.2,305,40.7,D,0
10.2369,-0.8786,328.8,1.5,1.2,2000-11-14,1109,Terra,MODIS,78,6.2,305,33.9,D,0
10.0983,-0.1639,333.8,1.7,1.3,2000-11-14,1109,Terra,MODIS,84,6.2,307.1,50.5,D,0
10.4446,-2.387,323.7,1.2,1.1,2000-11-14,1109,Terra,MODIS,56,6.2,300,14.9,D,0
10.0186,-0.0203,322.7,1.8,1.3,2000-11-14,1109,Terra,MODIS,71,6.2,304.5,23.4,D,0
10.0911,-0.5434,327.3,1.6,1.3,2000-11-14,1109,Terra,MODIS,77,6.2,304.8,33.1,D,0
10.3292,-2.2407,333.8,1.2,1.1,2000-11-14,1109,Terra,MODIS,83,6.2,304.7,33,D,0
9.9671,-0.1432,325,1.8,1.3,2000-11-14,1109,Terra,MODIS,70,6.2,304.8,22.4,D,0
10.0451,-0.6173,318.4,1.6,1.3,2000-11-14,1109,Terra,MODIS,57,6.2,305,12.2,D,0
9.971,-0.1491,320.4,1.8,1.3,2000-11-14,1109,Terra,MODIS,47,6.2,304.4,12.5,D,0
10.0744,-0.9453,333.3,1.5,1.2,2000-11-14,1109,Terra,MODIS,83,6.2,306,41.3,D,0
9.9567,-0.4965,321.6,1.7,1.3,2000-11-14,1109,Terra,MODIS,66,6.2,305.9,15.3,D,0
9.908,-0.2715,319.9,1.7,1.3,2000-11-14,1109,Terra,MODIS,59,6.2,305.2,15.7,D,0
