latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.0728,13.9609,318.9,1.9,1.4,2000-11-01,1006,Terra,MODIS,63,6.2,295.8,18.6,D,0
-6.8328,13.7684,315.5,1.9,1.3,2000-11-01,1006,Terra,MODIS,67,6.2,292,15.9,D,0
-9.2998,13.7085,324.5,2.1,1.4,2000-11-01,1007,Terra,MODIS,59,6.2,300.5,35,D,0
-9.3022,13.727,322.5,2.1,1.4,2000-11-01,1007,Terra,MODIS,72,6.2,299.2,31.8,D,0
-9.3033,13.7212,326,2.1,1.4,2000-11-01,1007,Terra,MODIS,76,6.2,300.5,41.7,D,0
-9.4411,13.9894,324.1,2.2,1.4,2000-11-01,1007,Terra,MODIS,32,6.2,299.1,33.1,D,0
-9.5921,14.0451,323,2.2,1.4,2000-11-01,1007,Terra,MODIS,0,6.2,299.1,29.1,D,0
-9.605,14.0435,321.9,2.2,1.4,2000-11-01,1007,Terra,MODIS,34,6.2,298.7,26.8,D,0
-10.7475,14.0262,326.8,2.3,1.5,2000-11-01,1007,Terra,MODIS,76,6.2,300.3,31.6,D,0
-12.2742,13.8609,328.5,2.3,1.5,2000-11-01,1007,Terra,MODIS,47,6.2,300.3,50.9,D,0
-7.6457,15.3692,324.8,2.2,1.5,2000-11-02,0911,Terra,MODIS,78,6.2,295,55.1,D,0
-7.6587,15.3672,333.3,2.2,1.5,2000-11-02,0911,Terra,MODIS,85,6.2,296.1,88.2,D,0
-7.4849,13.4603,319.2,3.2,1.7,2000-11-02,0911,Terra,MODIS,51,6.2,295,35,D,0
-8.6499,13.5823,320.9,3,1.6,2000-11-02,0911,Terra,MODIS,69,6.2,292.5,44.3,D,0
-8.6497,13.5754,323.9,3,1.6,2000-11-02,0911,Terra,MODIS,70,6.2,292.5,58.1,D,0
-11.1845,22.4141,331.8,1,1,2000-11-02,0912,Terra,MODIS,82,6.2,303.2,19.7,D,0
-11.1732,22.2043,316.8,1,1,2000-11-02,0912,Terra,MODIS,42,6.2,293.9,8,D,0
-12.5907,20.3186,327.5,1,1,2000-11-02,0912,Terra,MODIS,58,6.2,303.9,11.2,D,0
-13.1669,21.4866,333.2,1,1,2000-11-02,0912,Terra,MODIS,50,6.2,313.8,16.3,D,0
-13.1683,21.4959,332.7,1,1,2000-11-02,0912,Terra,MODIS,51,6.2,314.6,15.7,D,0
-13.1656,21.2221,329.4,1,1,2000-11-02,0912,Terra,MODIS,41,6.2,313,17.2,D,0
-13.2794,21.2459,332.3,1,1,2000-11-02,0912,Terra,MODIS,59,6.2,312.5,22.6,D,0
-13.283,21.2077,327.9,1,1,2000-11-02,0912,Terra,MODIS,54,6.2,312,16.9,D,0
-14.5974,21.1381,332,1,1,2000-11-02,0913,Terra,MODIS,72,6.2,315.8,18.9,D,0
-14.5987,21.1475,330.9,1,1,2000-11-02,0913,Terra,MODIS,72,6.2,314.8,16.8,D,0
-15.0604,21.4795,332.2,1,1,2000-11-02,0913,Terra,MODIS,74,6.2,307.4,18.6,D,0
-15.1785,21.4107,335,1,1,2000-11-02,0913,Terra,MODIS,39,6.2,317.9,15.8,D,0
-15.2785,18.3728,342.2,1.1,1,2000-11-02,0913,Terra,MODIS,85,6.2,312.1,34.1,D,0
-15.7172,20.6131,339.2,1,1,2000-11-02,0913,Terra,MODIS,80,6.2,323.4,11,D,0
-16.7476,19.8575,333.8,1,1,2000-11-02,0913,Terra,MODIS,54,6.2,317.8,8,D,0
-16.749,19.8668,342.4,1,1,2000-11-02,0913,Terra,MODIS,83,6.2,320.5,22.4,D,0
-16.7504,19.8761,335.4,1,1,2000-11-02,0913,Terra,MODIS,68,6.2,317.4,10.6,D,0
-17.1838,18.6535,339.3,1,1,2000-11-02,0913,Terra,MODIS,75,6.2,318.8,14.1,D,0
-17.1853,18.6632,354.6,1,1,2000-11-02,0913,Terra,MODIS,96,6.2,320.9,46.9,D,0
-17.367,19.0091,333.8,1,1,2000-11-02,0913,Terra,MODIS,45,6.2,317.6,7.5,D,0
-17.3684,19.0186,340.3,1,1,2000-11-02,0913,Terra,MODIS,76,6.2,318.9,16.5,D,0
-16.6913,13.9874,334.1,1.9,1.4,2000-11-02,0913,Terra,MODIS,75,6.2,309.5,46.5,D,0
-16.7034,13.9852,341.1,1.9,1.4,2000-11-02,0913,Terra,MODIS,85,6.2,311.9,74.3,D,0
-16.7156,13.9829,332.9,1.9,1.4,2000-11-02,0913,Terra,MODIS,73,6.2,311.3,39.3,D,0
-17.8853,19.7714,336.9,1,1,2000-11-02,0914,Terra,MODIS,58,6.2,320.5,10.8,D,0
-12.9875,13.8885,331.6,1.4,1.2,2000-11-03,0955,Terra,MODIS,80,6.2,304.3,28.1,D,0
-14.0774,18.2741,318.1,3.2,1.7,2000-11-03,0955,Terra,MODIS,27,6.2,303.7,36.5,D,0
-14.0807,18.3034,320.2,3.2,1.7,2000-11-03,0955,Terra,MODIS,59,6.2,304.6,49.9,D,0
-14.078,18.2968,321.8,3.2,1.7,2000-11-03,0955,Terra,MODIS,71,6.2,304.5,60.8,D,0
-14.7518,19.3145,322.2,3.9,1.8,2000-11-03,0956,Terra,MODIS,70,6.2,305.6,70.4,D,0
-14.9765,15.9882,328,2.2,1.4,2000-11-03,0956,Terra,MODIS,70,6.2,307.8,40.7,D,0
-15.8876,18.2928,326.8,3.4,1.7,2000-11-03,0956,Terra,MODIS,57,6.2,312.2,53.8,D,0
-15.8981,18.2848,326,3.4,1.7,2000-11-03,0956,Terra,MODIS,47,6.2,311.9,48.2,D,0
-16.2051,14.0163,344.6,1.6,1.3,2000-11-03,0956,Terra,MODIS,88,6.2,318.7,52.4,D,0
-16.2071,14.0315,334.8,1.6,1.3,2000-11-03,0956,Terra,MODIS,53,6.2,318.9,18.3,D,0
-16.2164,14.0149,334.6,1.6,1.3,2000-11-03,0956,Terra,MODIS,51,6.2,320.5,20.7,D,0
-6.3712,14.3863,303.7,2,1.4,2000-11-03,2212,Terra,MODIS,44,6.2,289.3,14.2,N,0
-6.3739,14.369,303.9,2,1.4,2000-11-03,2212,Terra,MODIS,38,6.2,289.3,13.8,N,0
-6.359,14.3846,318.1,2,1.4,2000-11-03,2212,Terra,MODIS,96,6.2,289.9,42.2,N,0
-6.3617,14.3674,309.8,2,1.4,2000-11-03,2212,Terra,MODIS,78,6.2,289.4,23.6,N,0
-6.3679,14.3803,318.6,2,1.4,2000-11-03,2212,Terra,MODIS,97,6.2,289.6,45,N,0
-6.3557,14.3785,316.1,2,1.4,2000-11-03,2212,Terra,MODIS,92,6.2,289.8,38.6,N,0
-5.9809,13.6637,301.4,1.8,1.3,2000-11-03,2212,Terra,MODIS,40,6.2,291,7.2,N,0
-13.8356,18.3507,318.8,1.8,1.3,2000-11-04,0900,Terra,MODIS,32,6.2,306.9,15,D,0
-14.4177,21.4022,333,1.1,1.1,2000-11-04,0900,Terra,MODIS,60,6.2,311.4,17.6,D,0
-14.4208,21.4227,333.9,1.1,1.1,2000-11-04,0900,Terra,MODIS,47,6.2,312.8,17,D,0
-14.5443,20.1268,327.1,1.3,1.1,2000-11-04,0900,Terra,MODIS,60,6.2,305.8,16.1,D,0
-15.1482,21.3591,336.8,1.1,1,2000-11-04,0901,Terra,MODIS,47,6.2,316.8,19.8,D,0
-14.7374,18.5131,336.7,1.6,1.3,2000-11-04,0901,Terra,MODIS,83,6.2,313.3,46.5,D,0
-14.775,17.9807,322.2,1.8,1.3,2000-11-04,0901,Terra,MODIS,38,6.2,307.4,18.3,D,0
-14.7778,17.9974,324.7,1.8,1.3,2000-11-04,0901,Terra,MODIS,65,6.2,306.8,26.1,D,0
-15.6367,19.7175,331.9,1.3,1.1,2000-11-04,0901,Terra,MODIS,47,6.2,316.2,18.2,D,0
-15.9235,21.1968,361,1.1,1,2000-11-04,0901,Terra,MODIS,100,6.2,319.9,69.1,D,0
-15.925,21.2069,345.6,1.1,1,2000-11-04,0901,Terra,MODIS,87,6.2,317.3,27.6,D,0
-15.9344,21.2054,356.2,1.1,1,2000-11-04,0901,Terra,MODIS,97,6.2,315.8,54.5,D,0
-15.936,21.2156,344.1,1.1,1,2000-11-04,0901,Terra,MODIS,85,6.2,317.7,24.7,D,0
-15.9115,18.2992,335.1,1.6,1.3,2000-11-04,0901,Terra,MODIS,75,6.2,318.6,29.9,D,0
-16.7623,22.2167,332.6,1,1,2000-11-04,0901,Terra,MODIS,62,6.2,314.7,9.3,D,0
-15.6931,15.7337,328.9,2.5,1.5,2000-11-04,0901,Terra,MODIS,64,6.2,314.5,34.6,D,0
-16.6213,19.9185,335.6,1.2,1.1,2000-11-04,0901,Terra,MODIS,69,6.2,321.4,11.5,D,0
-16.7523,19.8421,338.7,1.3,1.1,2000-11-04,0901,Terra,MODIS,78,6.2,320.9,22.6,D,0
-16.252,16.1764,331.4,2.3,1.5,2000-11-04,0901,Terra,MODIS,69,6.2,315.8,36.5,D,0
-16.2485,16.1711,329,2.3,1.5,2000-11-04,0901,Terra,MODIS,61,6.2,315.4,28.3,D,0
-16.6794,13.9599,325.6,3.3,1.7,2000-11-04,0901,Terra,MODIS,33,6.2,309.7,43.7,D,0
-14.5509,20.1233,305.2,1.5,1.2,2000-11-04,2114,Terra,MODIS,63,6.2,288.2,12.5,N,0
-9.4423,13.9849,335.5,1,1,2000-11-05,0942,Terra,MODIS,34,6.2,310.1,22.4,D,0
-11.7642,19.3948,317.6,2.1,1.4,2000-11-05,0943,Terra,MODIS,57,6.2,299.2,24.2,D,0
-13.3501,21.9417,327.4,3.4,1.7,2000-11-05,0943,Terra,MODIS,56,6.2,303,54.2,D,0
-13.3536,21.9735,327.4,3.5,1.8,2000-11-05,0943,Terra,MODIS,51,6.2,305.5,50.6,D,0
-14.5597,20.1278,332.3,2.6,1.5,2000-11-05,0943,Terra,MODIS,80,6.2,302.5,81.2,D,0
-14.5648,20.1203,327.3,2.6,1.5,2000-11-05,0943,Terra,MODIS,74,6.2,302,52,D,0
-14.5675,20.1441,325.3,2.6,1.6,2000-11-05,0943,Terra,MODIS,68,6.2,302.5,43.8,D,0
-13.9289,13.7097,345.2,1,1,2000-11-05,0943,Terra,MODIS,90,6.2,313.1,35.4,D,0
-13.9302,13.7191,338,1,1,2000-11-05,0943,Terra,MODIS,84,6.2,312.2,23.1,D,0
-15.4845,21.3395,345.3,3.3,1.7,2000-11-05,0944,Terra,MODIS,83,6.2,302.5,217.5,D,0
-15.4803,21.3347,337.4,3.3,1.7,2000-11-05,0944,Terra,MODIS,66,6.2,303.3,138.1,D,0
